X,Y,u,u_sigma,lx,ly,lz
-1.2391198450512348,1.8164276159289166,-0.010322226930456235,0.0028994838129732044,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.106327360553697,1.8164276159289166,-0.012459223797744414,0.0015055386170764456,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.1561245422402735,2.0014216181494184,0.0651889990843304,0.006997128778166455,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.1229264211158898,2.0014216181494184,0.08592075231248299,0.005700255824152394,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.1561245422402735,2.042531396420641,0.07753255794330803,0.007443269641394992,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.1229264211158898,2.042531396420641,0.08187929009706889,0.006332398289607568,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.0731292394293133,2.0219765072850295,0.08760742368794322,0.00183883157685507,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.371912329548772,2.145305842098698,0.048513782302919584,0.005907445998641093,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.5047048140463093,2.309744955183588,0.03985248986291681,0.0005217317913122635,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.371912329548772,2.309744955183588,0.044950942972719315,0.004692068211181596,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.2391198450512348,2.145305842098698,0.06426006981743522,0.006056200852153662,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.106327360553697,2.145305842098698,0.06613955618904206,0.0056464719936519785,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.2391198450512348,2.309744955183588,0.05522722196861278,0.006247853684914581,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.106327360553697,2.309744955183588,0.04821607044083534,0.0035232824919293085,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.5047048140463093,2.474184068268478,0.030615118758986187,6.431801183667204e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.371912329548772,2.474184068268478,0.03865321281521469,6.4258041984486e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.537902935170694,2.5975134030821456,0.022480652321639438,3.7256954765390586e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.4715066929219252,2.5975134030821456,0.02465596708087873,2.8904596267925066e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.537902935170694,2.679732959624591,0.011757613259702485,3.6980669440303174e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.4715066929219252,2.679732959624591,0.016623743854557792,2.4563709189009356e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.371912329548772,2.6386231813533687,0.025644843485993895,3.823379198439718e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.2391198450512348,2.474184068268478,0.04296341635031495,0.00011000421595808678,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.106327360553697,2.474184068268478,0.04012642757145692,0.0010800316823639116,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.2391198450512348,2.6386231813533687,0.029175990066750347,4.274325502142713e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.106327360553697,2.6386231813533687,0.02917424586203854,6.976926434892907e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.438308571797541,2.885281850980704,0.011091544804136022,4.51246538114861e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.1727236028024663,2.885281850980704,0.01879522922849898,6.0658678353650996e-05,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.3055160873000031,3.3785991902353754,0.0074924642485806586,0.0009283533823864975,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-1.3055160873000031,4.026078198007131,0.0009267060829548385,0.002883019661597005,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-0.7743461493098539,-1.2256959761415547,0.0030603946430200956,0.004095125847148711,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-0.7743461493098539,-0.5679395238019933,0.0022850820720413285,0.00470336190483875,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-0.7743461493098539,0.08981692853756795,-0.0043112395834205485,0.003804607778025544,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
-0.9071386338073908,0.583134267792239,-0.010925743637618564,0.004031310361588006,-0.7589003052246562,-0.11010280211375503,0.7704798662775446
